,wage_total,hh,bs_profit,other_inc,
365,,H07311-04-01,15.462582483213435,0.0,0.0
366,5334.590956708635,H07403-04-01,0.0,0.0,0.0
367,779.3141571539571,H07404-04-01,0.0,0.0,0.0
368,,H07406-04-01,23.19387372482015,450000.0,173.95405293615113
369,,H07408-04-01,388.4973848907375,200000.0,77.31291241606718
370,,H07408-04-02,1240.0991151537175,0.0,0.0
371,,H07408-04-03,0.0,0.0,0.0
372,,H07410-04-01,123.70065986570748,0.0,0.0
373,,H07412-04-01,83.88450997143288,0.0,0.0
374,927.7549489928061,H07413-04-01,0.0,0.0,0.0
375,1113.3059387913672,H07501-04-01,0.0,0.0,0.0
376,463.87747449640307,H07502-04-01,88.90984927847725,500000.0,193.28228104016793
377,1159.6936862410075,H07502-04-02,0.0,0.0,0.0
378,92.7754948992806,H07502-04-03,251.2669653522183,0.0,0.0
379,1363.799775019425,H07502-04-04,0.0,0.0,0.0
380,,H07502-04-06,50.253393070443664,0.0,0.0
381,,H07502-04-07,773.1291241606717,0.0,0.0
382,1373.077324509353,H07504-04-01,0.0,0.0,0.0
383,,H07506-04-01,0.0,0.0,0.0
384,46.3877474496403,H07507-04-01,27.05951934562351,0.0,0.0
385,148.44079183884898,H07508-04-01,0.0,0.0,0.0
386,,H07509-04-01,0.0,0.0,0.0
387,,H07509-04-02,0.0,0.0,0.0
388,834.9794540935254,H07509-04-03,0.0,0.0,0.0
389,46.3877474496403,H07509-04-04,0.0,0.0,0.0
390,,H07510-04-01,11.596936862410075,0.0,0.0
391,1700.8840731534779,H08101-04-01,77.31291241606718,0.0,0.0
392,,H08102-04-01,77.31291241606718,0.0,0.0
393,,H08102-04-02,413.6240814259594,0.0,0.0
394,,H08102-04-03,541.1903869124702,0.0,0.0
395,,H08102-04-04,65.7159755536571,0.0,0.0
396,1113.3059387913672,H08102-04-06,0.0,0.0,0.0
397,2644.101604629497,H08103-04-01,135.29759672811755,0.0,0.0
398,208.74486352338135,H08107-04-01,0.0,0.0,0.0
399,,H08110-04-01,77.31291241606718,0.0,0.0
400,,H08114-04-01,69.58162117446045,0.0,0.0
401,927.7549489928061,H08301-04-01,0.0,0.0,0.0
402,,H08302-04-01,425.22101828836946,0.0,0.0
403,324.7142321474821,H08302-04-02,0.0,720000.0,278.3264846978418
404,,H08302-04-03,0.0,0.0,0.0
405,,H08302-04-04,57.98468431205038,0.0,0.0
406,139.1632423489209,H08303-04-01,42.522101828836945,180000.0,69.58162117446045
407,,H08304-04-01,16.62227616945444,0.0,0.0
408,779.3141571539571,H08305-04-01,0.0,0.0,0.0
409,12988.569285899284,H08306-04-01,96.64114052008397,0.0,0.0
410,,H08307-04-02,0.0,0.0,0.0
411,,H08307-04-03,9.664114052008397,0.0,0.0
412,13.916324234892091,H08308-04-01,38.26989164595325,180000.0,69.58162117446045
413,340.17681463069556,H08308-04-03,11.596936862410075,0.0,0.0
414,1121.037230032974,H08309-04-01,0.0,0.0,0.0
415,1669.9589081870508,H08310-04-01,0.0,0.0,0.0
416,,H08402-04-01,0.0,0.0,0.0
417,,H08404-04-01,119.83501424490412,0.0,0.0
418,,H08405-04-01,0.0,0.0,0.0
419,,H08406-04-01,38.65645620803359,0.0,0.0
420,1530.79566583813,H08406-04-02,0.0,0.0,0.0
421,3711.0197959712245,H08406-04-03,0.0,0.0,0.0
422,,H08406-04-04,0.0,0.0,0.0
423,92.7754948992806,H08408-04-01,8.890984927847725,0.0,0.0
424,,H08409-04-01,0.0,0.0,0.0
425,,H08409-04-02,0.0,0.0,0.0
426,,H08410-04-01,0.0,0.0,0.0
427,,H08411-04-01,63.78315274325542,0.0,0.0
428,,H08501-04-01,77.31291241606718,0.0,0.0
429,69.58162117446045,H08502-04-01,0.0,0.0,0.0
430,,H08503-04-01,15.462582483213435,0.0,0.0
431,185.5509897985612,H08503-04-02,92.7754948992806,0.0,0.0
432,,H08503-04-03,0.0,0.0,0.0
433,,H08504-04-01,36.72363339763191,0.0,0.0
434,,H08505-04-01,0.0,0.0,0.0
435,,H08506-04-01,0.0,0.0,0.0
436,,H08507-04-01,0.0,84000.0,32.471423214748214
437,,H08508-04-01,0.0,0.0,0.0
438,32.471423214748214,H08509-04-01,0.0,0.0,0.0
439,,H08510-04-01,0.0,0.0,0.0
440,1507.6017921133098,H08510-04-02,4163.300333605217,0.0,0.0
441,556.6529693956836,H08602-04-01,10.050678614088733,0.0,0.0
442,,H08602-04-02,5.798468431205038,0.0,0.0
443,278.3264846978418,H08602-04-03,0.0,0.0,0.0
444,,H08603-04-01,0.0,480000.0,185.5509897985612
445,,H08605-04-01,69.58162117446045,0.0,0.0
446,,H08609-04-01,22.807309162739816,0.0,0.0
447,,H08611-04-01,10.43724317616907,0.0,0.0
448,,H08701-04-01,0.0,0.0,0.0
449,,H08703-04-01,0.0,0.0,0.0
450,,H08704-04-01,0.0,0.0,0.0
451,804.0542891270986,H08706-04-01,0.0,0.0,0.0
452,,H08707-04-01,0.0,0.0,0.0
453,,H08708-04-01,0.0,0.0,0.0
454,,H08708-04-02,46.3877474496403,0.0,0.0
455,231.93873724820153,H08709-04-01,0.0,0.0,0.0
456,,H08710-04-01,0.0,0.0,0.0
457,,H08801-04-01,0.0,0.0,0.0
458,,H08802-04-01,29.146967980857323,0.0,0.0
459,371.1019795971224,H08802-04-02,0.0,0.0,0.0
460,333.9917816374102,H08803-04-01,0.0,0.0,0.0
461,,H08804-04-01,0.0,0.0,0.0
462,,H08805-04-01,0.0,0.0,0.0
463,,H08806-04-01,38.65645620803359,0.0,0.0
464,,H08810-04-01,0.0,0.0,0.0
465,,H08811-04-01,129.49912829691252,0.0,0.0
466,,H09001-04-01,92.7754948992806,0.0,0.0
467,1159.6936862410075,H09001-04-02,-17.395405293615113,0.0,0.0
468,695.8162117446045,H09003-04-01,0.0,0.0,0.0
469,,H09004-04-01,0.0,0.0,0.0
470,,H09004-04-02,69.96818573654079,0.0,0.0
471,,H09005-04-01,0.0,0.0,0.0
472,2814.190011944845,H09007-04-01,0.0,0.0,0.0
473,5798.468431205038,H09008-04-01,154.62582483213436,0.0,0.0
474,1623.5711607374105,H09008-04-02,0.0,0.0,0.0
475,,H09009-04-01,0.0,0.0,0.0
476,1447.2977204287774,H09009-04-02,71.51444398486214,0.0,0.0
477,1020.5304438920867,H09010-04-01,0.0,0.0,0.0
478,2481.744488555756,H09011-04-01,0.0,0.0,0.0
479,22.42074460065948,H09101-04-01,0.0,0.0,0.0
480,,H09102-04-01,96.64114052008397,0.0,0.0
481,,H09103-04-01,0.0,240000.0,92.7754948992806
482,,H09105-04-01,0.0,0.0,0.0
